T0434 - loss: 0.00, correlation: 0.989660
T0435 - loss: 0.01, correlation: 0.954154
T0436 - loss: 0.03, correlation: 0.996445
T0437 - loss: 0.02, correlation: 0.993484
T0430 - loss: 0.04, correlation: 0.886280
T0538 - loss: 0.00, correlation: 0.972919
T0432 - loss: 0.00, correlation: 0.994170
T0433 - loss: 0.01, correlation: 0.990480
T0679 - loss: 0.01, correlation: 0.951444
T0698 - loss: 0.02, correlation: 0.952491
T0750 - loss: 0.05, correlation: 0.956937
T0753 - loss: 0.02, correlation: 0.987573
T0752 - loss: 0.01, correlation: 0.968722
T0755 - loss: 0.00, correlation: 0.794210
T0754 - loss: 0.01, correlation: 0.800888
T0757 - loss: 0.04, correlation: 0.951640
T0756 - loss: 0.01, correlation: 0.779354
T0759 - loss: 0.03, correlation: 0.688761
T0758 - loss: 0.01, correlation: 0.946825
T0692 - loss: 0.01, correlation: 0.467877
T0693 - loss: 0.00, correlation: 0.937081
T0694 - loss: 0.00, correlation: 0.910647
T0696 - loss: 0.03, correlation: 0.933911
T0697 - loss: 0.00, correlation: 0.742498
T0827 - loss: 0.09, correlation: 0.908836
T0390 - loss: 0.01, correlation: 0.918946
T0825 - loss: 0.03, correlation: 0.813007
T0824 - loss: 0.05, correlation: 0.789600
T0823 - loss: 0.02, correlation: 0.997658
T0822 - loss: 0.06, correlation: 0.889640
T0821 - loss: 0.05, correlation: 0.957324
T0820 - loss: 0.05, correlation: 0.242084
T0399 - loss: 0.00, correlation: 0.978067
T0398 - loss: 0.00, correlation: 0.996155
T0829 - loss: 0.01, correlation: 0.900232
T0584 - loss: 0.00, correlation: 0.824458
T0585 - loss: 0.00, correlation: 0.686899
T0586 - loss: 0.05, correlation: 0.975121
T0580 - loss: 0.01, correlation: 0.757785
T0581 - loss: 0.05, correlation: 0.527178
T0582 - loss: 0.01, correlation: 0.335241
T0588 - loss: 0.04, correlation: 0.362040
T0589 - loss: 0.07, correlation: 0.748549
average loss: 0.024631, average correlation: 0.815374
